Dialouge ,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,Actor
D (11).wav,1048.830314,247427.7911,2140.216774,1110974.423,0.013533244,9.53E-05,0.44636634,0.09871643,0.048820555,0.001362586,112.3471467,-399.592,10243.152,174.92683,1366.0057,-36.59099,2006.2688,58.927357,426.08163,2.164744,345.40765,5.3546257,198.84818,16.928947,337.858,-19.527405,273.25876,12.981335,196.70609,0.68545973,198.83534,5.605229,77.91666,16.521776,52.80613,-3.2998798,91.8493,9.192343,101.13167,4.713403,63.85422,-0.45636842,56.33988,3.6560493,58.008858,4.0257707,45.839622,1.7108071,59.13337,-4.976006,51.406693,D
D (12).wav,1392.257355,162500.7095,2750.74707,646601.1356,0.096081807,0.004861097,0.3254402,0.096389554,0.087938678,0.001346481,135.9991776,-213.42357,8053.4116,175.08444,1797.1246,-50.259968,1906.3942,25.8841,793.14526,12.818818,889.4143,-24.773598,692.2883,9.074952,489.86948,-11.742839,298.8232,-22.981474,565.2658,6.497599,197.5168,-3.1949291,423.16022,-4.6487164,146.12633,3.3922913,164.10335,-12.028798,302.85422,4.528002,161.1375,3.8859224,160.11517,-25.640116,375.3453,3.5234635,96.57577,7.3087387,127.71126,-21.694067,152.02957,D
D (13).wav,1783.786516,206565.0841,3542.770182,919003.4149,0.026374997,0.00037361,0.39300883,0.09355348,0.087160012,0.001304548,143.5546875,-256.4791,9044.096,125.062325,792.8841,-37.786285,613.2467,30.192465,400.79187,-8.844911,646.62177,0.9006369,139.42725,6.2086926,188.08295,-7.7872133,133.56522,-14.097125,240.38449,12.27948,159.70995,0.8861076,176.37357,11.621838,52.28807,0.16028102,92.218864,-1.8362982,52.745377,1.065119,86.02793,-0.1307209,65.227234,-5.301187,56.63405,7.2642894,73.317314,-6.107715,50.46234,2.5470154,43.025234,D
D (14).wav,1062.489713,253854.1568,2112.682736,1459544.624,0.052243051,0.001324185,0.43136236,0.096887976,0.07339344,0.001789208,112.3471467,-318.97873,8852.296,200.23352,4178.442,-16.363848,1723.6501,-1.6201376,920.4185,8.797339,1342.3726,5.7783756,665.99335,10.803868,620.23535,-11.246693,474.85178,-2.8716981,528.3466,7.715172,304.13373,-1.5363258,235.7912,2.3935413,176.9835,-0.25475842,164.46074,-6.497453,269.27728,3.9436727,187.97475,0.8334555,151.01361,-9.376739,242.40984,1.7622925,116.05639,0.53219354,92.20101,-8.532326,154.03531,D
D (15).wav,2396.18636,262786.7359,4534.912333,1402957.693,0.067347843,0.001581653,0.24716532,0.09583439,0.119763296,0.001935551,107.6660156,-150.76183,6025.456,72.548096,539.58453,-36.02607,373.4225,8.801609,149.85657,-9.416972,267.38077,-3.6230578,107.281654,-11.915144,243.54938,-6.5860186,104.56237,-18.977728,122.37477,6.9587207,111.01116,1.7949498,70.11313,1.9600362,81.94313,-1.3945608,130.12137,-2.063285,74.34743,-3.9630053,99.302635,-8.716883,94.23883,-15.554743,44.001736,-2.912399,51.5168,-6.5303125,106.45914,-5.1235275,210.6988,D
D (16).wav,2476.665241,1015835.669,4993.968222,2778441.889,0.067640925,0.000578658,0.31617895,0.096443586,0.151369502,0.010895963,129.1992188,-152.71666,10414.119,106.651054,1193.0977,-32.36449,489.59833,53.10514,499.03436,-26.02898,386.0436,19.485456,413.01437,-24.553167,366.0697,27.706491,229.64053,-33.267616,380.64023,27.417753,272.2432,-19.329638,167.92093,8.849125,83.878365,-3.2613475,98.36932,-4.995658,120.4834,2.2510812,110.8096,-11.406843,116.44894,6.3033357,86.56365,-13.163373,109.25521,5.0015683,70.154915,-13.942924,83.41933,D
D (17).wav,1320.263174,274265.863,2589.697266,920889.3635,0.035903658,0.000735847,0.37317535,0.098349184,0.089168128,0.003793901,151.9990809,-296.0122,3782.8943,180.72098,2401.6204,-50.858368,511.83734,24.349077,461.62326,16.820637,493.36444,-11.701315,359.15494,10.587508,352.91168,-4.6135583,221.3921,-11.851368,604.18585,-7.6230025,248.1291,-2.1344097,179.77365,-0.46897236,136.96333,-5.264032,174.00322,-5.202073,205.88779,1.0166383,119.96041,3.1235862,104.29509,-12.119092,216.17513,-5.338646,92.003395,6.1288285,81.53456,-13.598025,172.67183,D
D (18).wav,1207.552461,70416.94555,2457.832308,338490.4823,0.122955863,0.006201626,0.39194655,0.09659841,0.081001714,0.000519099,129.1992188,-154.37943,2504.8208,210.10191,452.6417,-60.579987,687.34235,21.807459,540.1263,26.52126,645.40845,-32.692627,245.58212,11.368914,638.5777,1.2723409,171.52231,-22.870005,343.11868,13.920388,227.25601,3.7171292,194.21574,-8.296461,82.864395,10.558472,124.18849,-1.0199566,110.741714,-0.16234037,72.25898,7.888495,130.29703,-10.119551,198.7726,-1.8177462,87.39177,4.25115,93.95277,-11.793624,116.38111,D
D (19).wav,1082.857711,70779.24634,2182.596983,412803.7865,0.171762606,0.013919283,0.35365358,0.11348152,0.061963612,0.000446301,129.1992188,-145.03763,4018.7996,190.58748,819.74255,-35.607307,686.869,28.157429,867.02954,13.56143,335.20474,-28.948196,550.74835,4.3081484,198.12074,3.0961192,230.97461,-5.128461,376.4264,4.5906553,93.63723,-12.349221,292.6044,-3.1142428,108.15346,9.080583,114.27007,-5.91626,122.62293,1.7714834,79.92987,6.3433785,105.356636,-10.76698,105.42146,3.1637013,67.25429,7.7332783,90.37734,-9.015849,107.86495,D
D (20).wav,1211.52424,123004.3325,2487.084961,812450.2894,0.164738457,0.007295067,0.29837844,0.0940057,0.066388355,0.000650876,112.3471467,-148.29861,8367.838,183.80191,1259.6449,-37.35002,1374.0681,26.187246,602.0434,8.601651,905.1737,-5.62537,408.4734,12.77418,499.28067,-22.95932,339.85965,-26.040813,397.3027,6.2918563,283.26257,-11.110647,346.90906,-3.3462977,129.11638,7.3592176,298.12076,-16.981691,209.54683,-2.4398894,204.10498,8.768118,225.81119,-20.313398,177.77269,-2.3960009,93.361115,2.2414923,97.31262,-18.131323,127.63249,D
D (21).wav,903.1983485,391387.7743,1802.18099,1352003.342,0.097240423,0.006328074,0.4290609,0.092668,0.048605944,0.001454796,107.6660156,-255.81815,6252.9243,188.23648,2916.5295,2.9143755,775.6028,11.098312,803.9273,5.3010874,491.8704,9.141214,343.31885,13.039725,292.37466,-9.644228,240.27103,2.125371,259.84384,6.7169123,252.29094,-5.789295,232.6851,-2.534184,191.10432,-1.3177414,184.31439,-4.3542814,176.68227,2.439015,179.95969,-0.4190896,149.78197,-8.436653,149.74677,0.7364309,124.746,-1.0217407,106.31245,-8.132093,124.89284,D
D (22).wav,1191.696699,182184.6187,2370.446777,656746.3325,0.097109857,0.003926626,0.43321508,0.095632285,0.075037977,0.001324232,95.703125,-192.37527,5468.5605,165.67267,1936.9233,-40.283764,635.0831,28.608078,1059.3827,25.043858,931.5724,-12.526705,221.18515,8.28964,218.76176,3.2524152,394.90216,-2.3040683,388.75687,3.071411,146.7682,7.3934197,198.85512,10.933881,167.26346,0.45703042,112.100876,-5.3923435,190.11743,2.0270822,135.02992,1.687382,103.6288,-6.5063505,193.67102,-3.2928321,106.97459,4.3666,91.187225,-0.3383071,201.30673,D
D (23).wav,1405.444463,236659.5218,3157.789206,888538.799,0.02778848,0.000269171,0.31950286,0.09261032,0.066650071,0.001859795,117.4538352,-287.8159,4494.8003,154.0124,967.24695,-38.84293,297.0134,65.17751,418.3511,-25.677906,244.56567,18.28541,100.526085,8.763591,114.26788,-15.910141,150.58122,4.5529866,114.33478,-9.467766,86.66013,10.755219,105.68491,-7.633711,61.50091,1.2487743,53.681297,-1.069764,56.28314,-4.848644,58.320717,4.536893,57.18793,-10.040789,35.968113,4.156703,52.802887,-5.497437,56.145115,-4.79375,45.81978,D
D (24).wav,2604.753658,422581.415,4862.01501,1470965.711,0.017168587,0.000228819,0.3754299,0.08982876,0.167999363,0.004807848,107.6660156,-284.71484,10402.949,81.362335,765.6346,-37.230118,909.5853,16.900122,203.31885,-10.483761,735.34143,-12.970943,367.91968,-6.8365483,215.95743,1.8829881,295.46426,-25.093134,272.77548,8.043274,225.76614,-6.724354,130.24402,-1.9953847,106.30328,-6.0406437,87.70498,-5.90474,92.213684,-10.131376,113.83105,5.0461025,84.39749,-15.449024,85.74701,0.35807967,107.42147,-4.3268695,95.79516,-4.4985147,78.73089,D
D (25).wav,2546.631965,1067386.501,4949.645996,2732690.438,0.022620868,0.000513374,0.3490486,0.09630741,0.130290618,0.008591204,117.4538352,-291.30334,9749.507,75.251976,1496.8416,-13.88768,1194.505,11.392585,659.1229,-8.511208,565.1341,-15.077643,215.35545,-8.078525,171.47469,-15.968698,252.06363,-23.028357,254.87738,-3.091967,114.74154,-15.354454,204.30095,-5.190453,62.37081,-8.113691,52.573826,-12.688231,98.44452,-3.251568,66.662155,-0.9678355,57.85086,-11.272577,69.11592,-0.3935938,39.47523,-3.094516,36.97826,-5.0620112,35.25989,D
D (26).wav,1809.186131,832704.8385,3670.132599,2464158.927,0.064112492,0.002101838,0.37692702,0.10299931,0.083157349,0.00476757,103.359375,-190.65482,6539.912,127.50199,1344.1375,-11.841771,1140.6536,27.565483,271.403,-1.981871,577.7629,-3.8080637,376.0694,8.746277,262.78897,-10.859727,290.7462,-13.677653,318.4137,5.649168,133.03304,-11.225694,167.74812,4.0687966,92.77533,-3.0117197,103.05003,-3.6138196,112.17895,-0.4266368,130.04138,1.2475647,84.56042,-10.809667,115.43918,8.674796,108.96681,-8.873095,80.18782,-1.8681768,47.697784,D
D (27).wav,1666.079484,453278.429,3349.225092,1334468.004,0.050458335,0.002323213,0.40191147,0.09612617,0.08180484,0.003338874,129.1992188,-224.68344,8519.179,130.13701,764.6246,-21.236103,761.3198,19.969143,461.30966,10.695716,446.2744,3.464908,490.47934,7.6552153,105.4091,-6.322744,198.42305,-12.365625,383.45422,10.018399,99.79252,-2.9712477,208.4955,4.62942,65.27024,2.043936,98.04897,-7.643762,115.3635,2.6263666,78.27702,2.2780554,54.00365,-9.947688,116.02692,3.9589748,83.40365,-8.984273,85.25967,-4.815802,45.497215,D
D (28).wav,1431.012539,835241.093,2897.165364,2680953.856,0.109606858,0.004312884,0.32610542,0.096260406,0.062447213,0.0042061,129.1992188,-162.73402,6643.6675,140.8063,2424.446,-9.020559,593.4737,36.967567,397.079,-0.06476467,440.80484,-4.1099176,282.48718,15.239205,302.21387,-9.995098,190.79211,-13.854031,158.9528,-0.6192231,126.02343,-8.510631,119.15482,1.6794138,73.13395,-3.6025093,83.81762,-6.1113067,67.17824,-3.2436304,83.46711,-3.6267333,74.382614,-4.1115847,67.419014,-0.72657007,81.704475,-7.145988,71.22225,-3.747387,53.81832,D
D (29).wav,995.6293286,114377.127,1547.698975,614544.4948,0.071830578,0.004115308,0.26094484,0.09377477,0.058864253,0.000507942,117.4538352,-254.1886,3532.2595,159.27267,986.66504,-4.228959,550.04364,-11.731443,358.0211,-24.63955,328.89703,-22.955624,237.81604,-6.3573027,146.05931,-22.11344,153.0381,-30.778006,214.57425,-8.813211,124.55569,-8.479945,156.86832,-10.656867,96.07251,3.8779223,77.960396,0.86780757,73.60108,1.3435625,69.279724,4.2334347,54.35012,-7.1690397,44.76075,-7.3163342,49.34644,1.6652904,44.520924,-2.711013,45.65846,D
D (30).wav,2158.205753,1323715.161,4696.530525,4018924.333,0.018317393,0.000181733,0.4215376,0.101124935,0.103336064,0.010895732,99.38401442,-320.7972,10734.561,102.47189,2276.734,8.0855875,219.4367,36.18007,296.31775,-3.299753,575.72186,8.927098,243.25642,20.42392,216.29608,-13.358742,473.4119,-5.267686,197.18378,3.3853831,173.5535,-4.8241725,141.35979,4.111366,137.64806,-7.09718,89.24157,8.430314,91.08825,-7.23252,71.99638,3.0359583,103.13379,-5.720587,56.108875,6.120787,92.962006,-8.393526,75.49175,-2.517078,65.198235,D
D (31).wav,1796.506138,275545.9039,3441.630112,1045718.275,0.044083525,0.001044187,0.32777214,0.097058736,0.082435235,0.0018496,123.046875,-210.27097,3982.9297,118.499084,543.7085,-24.965786,561.55334,21.485775,233.93958,5.659704,302.99976,-11.408864,245.36913,-5.7853794,212.65816,-9.790097,111.38144,-22.586485,237.65282,3.9202197,167.3809,-15.048995,147.50133,-2.132138,64.134895,-7.173717,66.23822,-3.6267703,52.98494,-9.151653,83.10727,5.4903474,92.21753,-17.578587,143.36311,2.9758003,68.0795,-4.9644933,58.626945,-7.5460978,50.881428,D
D (32).wav,1557.311185,363724.9853,3094.35837,1579876.941,0.212965356,0.010690264,0.3233303,0.09307193,0.063913793,0.000949454,129.1992188,-47.506847,5931.59,127.417366,805.45435,-12.095453,299.2423,25.450596,202.38112,5.258542,234.97119,4.9623837,160.17491,-0.78525066,114.26683,-5.2951393,116.924644,-8.4281845,98.250854,0.011612291,99.32374,-3.0859606,87.70351,2.1206353,69.462585,-3.1239603,74.76156,0.2538994,63.589188,-2.4545972,64.90972,0.7194096,60.63696,-5.200092,77.35025,2.9022994,57.859055,-6.111331,65.476,-1.2853322,77.12388,D
D (33).wav,1641.774811,431580.7078,3325.672278,2092957.871,0.139728878,0.008634307,0.3108439,0.09608351,0.069552365,0.001786768,112.3471467,-101.065445,4615.5093,131.3094,767.5243,-3.353094,549.2996,18.413584,289.9084,5.2030706,496.55438,-6.673,225.0107,-5.1163464,202.89708,-2.5035625,195.55226,-16.823112,162.32457,8.002573,128.95418,-7.0303006,176.76976,2.4764223,114.80594,-0.91065705,89.74227,-9.083956,126.61411,0.8063587,113.337425,-2.8089943,89.6588,-11.797721,88.41732,3.9189472,71.544464,-6.39487,69.36565,-0.3545071,84.22208,D
D (34).wav,2519.39381,152895.2715,4910.936467,590204.5588,0.069619626,0.001117646,0.33560282,0.08772865,0.139863812,0.001291697,135.9991776,-86.69178,2505.8396,81.676895,436.33463,-38.898262,297.50626,23.562878,240.52437,-21.526836,233.49434,2.8238366,210.80885,-15.897194,135.38954,2.8899786,127.137314,-18.2176,88.36551,3.0572376,122.63975,-14.455726,101.22414,-0.87536997,103.26533,-12.004831,86.12533,-3.4036543,77.05871,-8.29947,80.166,-1.9092458,61.47269,-7.1313424,84.45918,4.4758306,92.62325,-2.3988693,108.7247,1.605038,103.383514,D
D (35).wav,2540.398379,494226.3262,4259.536743,1494629.464,0.085931595,0.002471826,0.37658197,0.089520805,0.159089862,0.003843607,129.1992188,-129.94504,9908.241,89.581024,1329.6061,-50.530823,610.6108,25.236628,315.45676,-3.33816,742.6051,-29.264128,337.87643,-1.2423621,226.64365,-9.892075,288.31876,-37.956753,298.09344,13.493929,245.98553,-24.350882,228.67937,-5.81275,125.72103,-5.1494927,100.98163,-11.081996,107.65847,-8.954319,117.09663,3.6423078,107.582405,-17.799986,83.16075,5.4187446,103.31308,-13.146151,92.12996,6.6183777,101.00412,D
D (36).wav,1777.220217,774805.8743,3562.469387,3505035.3,0.097847171,0.008809611,0.32016146,0.10491263,0.088903427,0.004327379,123.046875,-176.96736,11780.887,120.734505,1907.8629,-17.644827,562.0458,22.268526,231.65497,-1.8339888,405.43945,-0.8509106,172.2566,-2.7457573,129.61322,-2.6253874,134.3254,-14.812543,271.6364,7.6147313,132.57957,-4.024595,139.89098,6.4817486,115.407394,7.6557236,108.27678,-6.951304,108.8316,-0.49165213,87.23273,1.9693923,84.28367,-9.025243,102.85889,3.410904,55.85187,-5.0802636,54.366524,-1.6626531,71.56369,D
D (37).wav,2056.96139,280987.378,3427.119504,1690102.039,0.042376958,0.00305676,0.26186132,0.095112085,0.132987211,0.002193685,117.4538352,-285.81244,18731.314,85.722275,1013.8644,-59.487957,1643.1062,-11.199949,351.05048,-3.7120736,333.82993,-5.2054825,283.25195,-6.1778717,146.47258,3.500976,238.0855,-2.5209053,140.51419,-0.5662885,80.802666,-12.954956,124.10842,10.378042,66.96881,-7.066082,78.27623,-5.798485,50.332027,10.518252,97.55346,-2.5438974,132.25801,4.1975436,176.18665,3.2978833,162.3457,0.41049948,144.77596,-1.8687689,133.30072,D
D (38).wav,1956.77605,545460.9745,4069.519652,2494154.831,0.063706918,0.001268327,0.37155047,0.08936832,0.089212812,0.002683879,123.046875,-137.61336,12294.304,107.74803,1429.7532,-5.1508646,271.7605,18.888756,141.49954,1.134332,118.410194,-1.2565124,78.870804,0.5092221,94.81328,-6.270392,70.61293,-7.7436748,84.35053,1.7923712,52.458107,-7.653516,69.693565,3.7924376,70.07053,-2.9849858,49.674133,-0.5328123,43.565487,-4.355099,32.251564,1.4800471,39.562416,-4.273341,31.76049,3.217993,47.8569,-3.7859728,38.05619,0.65196383,37.057938,D
D (39).wav,2068.214714,567610.7903,4775.091405,2793087.492,0.094307176,0.004701943,0.38569522,0.09062463,0.071126847,0.001920093,112.3471467,-131.21265,5555.0034,96.81078,968.2163,22.52262,216.98395,34.348225,189.42162,4.1511974,304.56592,12.843539,234.13089,-0.335559,102.77711,-3.4499347,186.00595,-16.140251,176.34445,1.5658312,93.89039,-5.2474623,90.61225,3.001556,70.18177,-5.6783495,69.01478,0.95915055,64.59502,-1.0863026,66.46691,-1.8839597,50.37641,-4.469104,32.716145,-0.58588105,39.497047,-3.773536,48.81844,-1.9033444,40.751575,D
D (40).wav,1604.023954,490983.1974,3377.967407,1669781.677,0.016946696,0.000136466,0.34899652,0.09785159,0.068395996,0.003548193,107.6660156,-306.69437,2643.0447,138.54974,1179.4149,-12.954174,516.3763,30.18026,165.18388,-0.7965312,193.07971,-5.4669805,303.1563,9.230869,399.8489,-11.774939,157.99275,-19.354334,132.92636,2.658598,122.23907,-2.6639173,97.84534,-0.9215941,58.573605,2.600516,71.49941,-2.1674206,99.56643,-3.6601527,69.177505,0.14122799,61.582737,-10.531571,63.05674,3.457029,54.368237,-7.913127,80.45322,0.8072254,38.293797,D
D (41).wav,1466.656582,398845.732,2810.399673,2303506.297,0.036798005,0.000625631,0.28157943,0.090670004,0.070156794,0.00137935,129.1992188,-234.05038,2873.7532,144.31555,877.5096,-2.840094,360.0664,11.632265,276.52917,-10.213324,228.26398,-7.9216757,140.85416,-3.679121,153.73268,-1.5392767,155.21852,-15.287791,304.94556,8.245254,145.15231,-9.195719,169.3631,0.92496926,103.78665,-1.5300888,111.76963,-3.1548977,156.21535,6.2753677,116.656235,0.69092876,84.872406,-3.322951,53.277397,-1.4615241,66.76943,-5.541102,70.81668,-0.6395835,73.20971,D
D (42).wav,2237.805115,1384866.127,4842.492061,4124672.3,0.020060206,0.000172347,0.40029815,0.09947024,0.109726281,0.011523827,99.38401442,-302.60605,8289.021,101.71711,2441.7832,7.883351,239.28436,37.801502,299.51407,-4.7944493,616.95276,8.174927,262.52167,21.572046,225.14328,-15.873608,464.8874,-6.333344,206.51025,3.321546,188.76697,-5.184158,152.49895,3.847819,149.26585,-7.7255735,93.43484,8.84659,96.86907,-7.696326,77.00575,2.5247986,109.22401,-6.1362367,58.81876,6.1857696,101.64164,-9.364511,71.73547,-3.4029155,61.711807,D
D (43).wav,1745.68451,495364.2996,3701.123256,2521660.111,0.193084992,0.010017069,0.36306924,0.09502721,0.069079014,0.00220124,117.4538352,-56.311916,7864.11,121.21528,905.7355,-1.9170626,543.0794,29.04946,207.46284,3.7543883,316.21255,4.830049,176.61772,10.245906,164.62189,-0.000769761,189.44751,-7.5052466,154.17554,7.604002,97.99808,-1.9807295,172.14145,10.043483,82.51491,0.5373566,66.192856,2.6297226,71.64558,-3.617589,75.52457,7.0308948,114.684074,-6.758459,64.85814,5.6399794,47.66553,-1.1684003,55.17058,1.115043,57.90729,D
D (44).wav,1430.366674,82712.14477,2801.506224,431230.931,0.043400386,0.001520163,0.41545126,0.09046243,0.113592978,0.00090382,129.1992188,-249.1921,3655.4417,188.24925,567.6445,-59.20084,612.51605,12.198507,527.8968,-1.0134927,866.44025,-20.808338,412.98328,14.694108,726.2152,-14.347376,260.60037,-14.986647,443.16068,17.30933,397.5835,-0.29204625,382.5763,-5.140225,237.9372,6.342719,134.77081,-4.420656,201.46584,1.8946093,128.46017,5.1411433,186.73145,-6.255326,195.6879,4.724917,117.93992,-2.7373462,118.18928,-11.593493,212.26822,D
D (45).wav,1323.832796,116322.0906,2705.882105,451027.5843,0.132314119,0.004524782,0.34653002,0.088332914,0.086714821,0.000595298,135.9991776,-148.847,4748.5938,207.72433,1412.5706,-62.528942,687.18317,27.061367,470.36578,14.07764,592.5552,-26.957727,307.37192,21.20723,435.55994,-8.47873,198.8532,-27.293167,422.23212,11.920536,119.75045,-8.20358,258.94998,-4.4828963,161.72542,7.6455703,128.22243,-15.727533,230.5751,-0.096270606,130.89789,7.6666245,141.27602,-20.086979,165.57181,1.1862303,88.53543,7.53385,144.74773,-17.780128,135.01328,D
D (46).wav,1548.261343,753352.1921,2863.01195,1150840.322,0.056165557,0.001564084,0.36349523,0.08988709,0.114775912,0.001513804,143.5546875,-241.67465,8050.055,190.0726,2032.7617,-64.06745,967.8979,21.895117,1110.0634,-4.0153465,692.1545,-26.697638,506.99484,22.524834,644.94434,-19.478058,243.58194,-19.649473,616.47046,24.27314,592.7573,-3.4047847,340.43933,-8.690504,316.8517,5.9188595,158.00267,-5.4306984,200.13736,2.4932172,157.61644,0.96505356,175.60011,-10.561017,164.78212,7.185108,115.176895,1.6646926,126.09181,-9.310919,153.0231,D
